"company_name","company_url","company_linkedin_url","company_country","company_country_code","company_city","company_industry","company_employee_count","company_founding_year","technologies_count","technologies","jobs_count","jobs_titles","annual_revenue_usd","company_seo_description","company_description","google-cloud-platform_confidence","google-cloud-platform_n_jobs","salesforce-marketing-cloud_confidence","salesforce-marketing-cloud_n_jobs","amazon-web-services_confidence","amazon-web-services_n_jobs","google-drive_confidence","google-drive_n_jobs","onedrive_confidence","onedrive_n_jobs"
"ília","https://ilia.digital","https://www.linkedin.com/company/ilia-digital/","Brazil","BR","São Paulo","IT Services and IT Consulting","438","2011","398","Google Cloud Platform, Amazon Web Services, Salesforce Marketing Cloud","565","","100000000","Find clean makeup and cosmetics at ILIA Beauty. ILIA Beauty offers clean makeup that makes your skin look &amp; feel alive. Shop now!","We specialize in creating digital products that transform our clients' journeys, delivering consistent results through Technology, Design, and Data. 

By offering high-impact solutions for large companies in financial services, insurance, and mobility, we help them turn challenges into opportunities for growth and innovation.

We develop complete digital solutions, from discovery through ongoing support, with agility and precision. Guided by our value@speed philosophy, we deliver fast, high-value results.
Partnering with platforms like Salesforce, Genesys, and AWS, we provide integrated solutions that enhance user experience, operational efficiency, and scalability. 

Our collaborative team, driven by uncomplicated innovation, collaborates closely with clients to simplify interactions between people, products, and services, fostering strategic and sustainable growth.
","medium","36","high","9","high","133","","","",""
"Taking","https://taking.com.br","http://www.linkedin.com/company/taking","Brazil","BR","São Paulo","Professional Services","290","1995","470","Google Cloud Platform, OneDrive, Amazon Web Services","695","","","Apoiamos empresas por meio da aceleração digital. Nossa atuação é estruturada no tripé pessoas, processos e tecnologia, com foco em promover alta performance para empresas.","Somos uma aceleradora digital especializada em compreender as necessidades das organizações, tanto no âmbito do negócio como nas questões técnicas de TI, proporcionando o equilíbrio perfeito entre tecnologia e humanização.

Por isso, a Taking apoia empresas na aceleração digital baseada no tripé pessoas, processos e tecnologias, porque entendemos que não existe tecnologia sem processos e nem processos sem pessoas. Acreditamos que valores como empatia e comprometimento, por meio do pensamento voltado para a inovação, permitem inspirar pessoas e colaborar na construção do caminho para um futuro melhor.

Nosso ecossistema tem contribuído, nos últimos 27 anos, com milhares de pessoas, inspirando-as, e soma mais de 151 mil horas de serviço prestados por mês, mais de 236 clientes ativos, cerca de 952 colaboradores e mais de 60 empresas parceiras.

Em 2022, nos unimos à InfoA2, empresa que se consolidou no mercado de projetos e aplicativos, sendo a primeira parceira Oracle a realizar a implementação do ERP Cloud no Brasil. 

Estamos preparados para um futuro com você ao nosso lado.

Vamos juntos?","medium","50","","","high","126","","","medium","3"
"Nubank","https://nubank.com.br","https://www.linkedin.com/company/nubank/","Brazil","BR","São Paulo","Financial Services","10338","2013","322","Google Cloud Platform, Amazon Web Services","926","","737100000","Você finalmente no controle do seu dinheiro. Controle total do cartão de crédito e da conta 100% digital","Nu was born in 2013 with the mission to fight complexity to empower people in their daily lives by reinventing financial services.

We are one of the world’s largest digital banking platforms, serving more than 100 million customers across Brazil, Mexico, and Colombia. 

As one of the leading technology companies in the world, Nu leverages proprietary technologies and innovative business practices to create new financial solutions and experiences for individuals and SMEs that are simple, intuitive, convenient, low-cost, empowering, and human. 

Guided by its mission, Nu is fostering access to financial services across Latin America.","medium","11","","","high","120","","","",""
"Lity","https://lity.com.br","http://www.linkedin.com/company/lity","Brazil","BR","Uberlândia","IT Services and IT Consulting","3","","344","Google Cloud Platform, Amazon Web Services","610","","","","","medium","41","","","high","118","","","",""
"Alest Consultoria","https://alest.com.br","http://www.linkedin.com/company/alest-consultoria","Brazil","BR","São Paulo","IT Services and IT Consulting","110","2011","50","Amazon Web Services, Google Cloud Platform","183","","","Alest é uma Consultoria Especializada em Transformação Digital. Inove seu Canal de Atendimento, Otimize seus Processos e Inicie já sua Jornada Para a Nuvem!","Alest Consultoria, was founded in 2011. We are proud to say that we operate with excellence throughout the national territory, committing ourselves to plan, conduct and act directly in the digital transformation of small, medium and large Brazilian organizations. We value, above all, our customer satisfaction. Our goal is clear: to make work simpler, more innovative and collaborative. Thinking further, Alest brings creativity, collaboration and the entrepreneurial spirit to IT, Support, HR and Marketing!","high","115","","","low","4","","","",""
"Claranet Brasil","https://bit.ly","https://www.linkedin.com/company/claranetbrasil/","Brazil","BR","Barueri","IT Services and IT Consulting","340","1992","158","Google Cloud Platform, Amazon Web Services","124","","527525000","Claranet Brasil é um provedor de serviços gerenciados de Cibersegurança e Cloud. Deixe a sua área de TI cada vez mais estratégica. Confira!","A Claranet Technology S.A. faz parte de uma multinacional de tecnologia com foco em soluções end to end, especialista em serviços gerenciados de Cloud Pública e Privada, Cibersegurança, Big Data entre outros. Está presente em 10 países (Reino Unido, Portugal, França, Alemanha, Holanda, Espanha, Brasil, Estados Unidos, Itália e Suíça), com mais de 2.500 colaboradores e 6.800 clientes ao redor do mundo. 

Nascida no Reino Unido em 1996, a Claranet é reconhecida como o maior fornecedor europeu em serviços gerenciados. Chegou em terras brasileiras no ano de 2017 e fez  aquisição de 92,5% da CorpFlex, empresa pioneira em Cloud Privada no país. 

A Claranet soma 28 aquisições ao redor do mundo em 6 anos, o que reforça o caminho de consolidação já comprovado na Europa. Em uma era de plena transformação dos negócios, a Claranet trabalha com um framework modular de serviços profissionais, estudando as melhores opções em tecnologia para as organizações, com cases comprovados em diversos segmentos. O time é 100% comprometido em entregar os melhores serviços, que trazem mais performance para o momento atual e também no plano de continuidade e sucesso dos nossos clientes agora e no futuro. 

","medium","68","","","high","114","","","",""
"Datum TI","https://datum.inf.br","http://www.linkedin.com/company/datumti","Brazil","BR","Porto Alegre","IT Services and IT Consulting","201","1999","528","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","958","","","","A Datum nasceu em 1999 e surgiu da necessidade de atender a adaptação das empresas para o bug do milênio. Desde então, atuamos em projetos inovadores nos mais variados segmentos, voltados para transformação digital, desenvolvimento ágil e customer centric. Atuamos em inovação e evolução de software, desenvolvimento de plataformas e aplicativos mobile, alocação de profissionais e consultoria. Nosso objetivo é ajudar empresas a serem protagonistas da sua história através da tecnologia e da inovação.

Em nosso portfólio de clientes, temos empresas como Getnet, banco Bonsucesso, RBS, Hewlett-Packard Enterprise, Saque e Pague e grupo Dimed-Panvel.

Aqui incentivamos a diversidade, ideias inovadoras e autonomia. Entendemos que um ambiente colaborativo e inovador se constrói com diversidade de pessoas e ideias, e buscamos constantemente um espaço em que todos sintam-se livres para serem quem são.

Na Datum, todos avançam juntos!","medium","53","low","2","high","113","","","",""
"Verx Tecnologia e Inovação","https://verx.com.br","http://www.linkedin.com/company/verx-tecnologia","Brazil","BR","São Paulo","IT Services and IT Consulting","71","2007","379","Google Cloud Platform, Amazon Web Services","335","","","","Uma consultoria especializada em TI, apaixonada por desafios, motivada pelas inovações, e na busca constante pelas estratégias mais eficazes para cada cliente. Queremos resultados concretos, adoramos a evolução e procuramos, obstinadamente, o melhor modelo de gestão, com os resultados mais animadores. Temos agilidade, capacidade apurada de entendimento e flexibilidade para oferecer serviços altamente personalizados com a expertise que o cliente precisa para crescer.

Nossos Princípios
Sim, temos como meta primordial atender às demandas de nossos clientes por meio de soluções integradas, criativas e altamente eficazes. Mas sabemos que isso só é possível investindo, constantemente, no aprimoramento de nosso time de colaboradores e nas inovações em gestão, tecnologia e recursos humanos. 
Tão importante quanto esses aspectos é travar relações de honestidade e transparência com nossos clientes, fortalecendo os vínculos de parceria, por meio da entrega de um trabalho sério, comprometido, ágil e dinâmico, que resulta, indubitavelmente, na satisfação do mercado e na construção de sucessos em parcerias.","medium","26","","","high","101","","","",""
"Solutis Tecnologias","https://solutis.com.br","https://www.linkedin.com/company/solutis-tecnologias/","Brazil","BR","Sao Paulo","IT Services and IT Consulting","981","","409","Google Cloud Platform, Amazon Web Services","497","","","Player de Tecnologia que acelera a jornada digital dos clientes.","Solutis - estratégia, design e tecnologia.  Serviços que aceleram a transformação digital. Cognição, Analytics, IOT, UX, Cloud, Mobile, Integração, Aplicações, Service Desk e Suporte a Ambiente Computacional.  Ampla oferta para suporte a gestão. Amor por tecnologia, paixão por gente, engajamento, busca intensa por conhecimento, empatia e criatividade... receita para cultivar e colher, sempre, o melhor resultado para o cliente.
","medium","13","","","high","99","","","",""
"RD Station","https://rdstation.com","https://www.linkedin.com/company/rd-station/","Brazil","BR","Florianópolis","Software Development","1501","2011","303","Amazon Web Services, Google Cloud Platform, Google Drive","698","","75000","","Somos líderes em soluções de tecnologia para ecommerce, marketing digital e vendas no Brasil. Por meio da nossa plataforma de automação de marketing e vendas, e divisão de conteúdo, mídia e educação, empoderamos heróis e heroínas que fazem a economia crescer. 

Atualmente, temos mais de 50 mil clientes, em mais de 60 países. Com aproximadamente 1.500 funcionários em toda a América Latina, somos reconhecidos pelo ranking “Great Place to Work”, como uma das melhores para se trabalhar no Brasil em Diversidade, Equidade e Inclusão.
","high","98","","","medium","82","high","5","",""
"IPNET Growth Partner","https://ipnet.cloud","http://www.linkedin.com/company/ipnet","Brazil","BR","","IT Services and IT Consulting","250","2002","169","Amazon Web Services, Google Drive, Google Cloud Platform","115","","6000000","","Somos uma empresa parceira da Google na América Latina para te ajudar a crescer e seguir na Transformação Digital. 

Além das soluções de produtividade do Google Workspace e dos serviços da Google Cloud Plataform, contamos com uma equipe diversa e especializada, pronta para enxergar o seu momento e o da sua empresa, e oferecer a melhor estratégia. 

Nossa cultura de relacionamento envolve o cliente em todas as etapas do projeto, que se beneficia do nosso know-how, da variedade de recursos de que dispomos, além da nossa capacidade de flexibilizar o seu planejamento. O resultado é um produto que se encaixa perfeitamente ao seu negócio.","high","97","","","medium","27","medium","1","",""
"e-Core","https://e-core.com","https://www.linkedin.com/company/e-core/","Brazil","BR","Porto Alegre","IT Services and IT Consulting","630","1999","388","Google Cloud Platform, Amazon Web Services","452","","35000000","","We are a technology consulting partner focused on digital innovation and business transformation.

We combine our global experience in key industries
and the latest technologies to help fast-growing
and established companies build innovative digital products, modernize technology platforms
and improve efficiency in their digital operations. 

With offices in Brazil, United States, and Mexico, we have a global DNA and important numbers that mark our trajectory:

+22 Years of experience in the market.
+304 Active customers served in over ten countries.
+700 Team members.
+25 Industries served.

We are change-makers, and the purpose of everything we do is to connect people and technology to build a better future together.

We are e-Core. Accelerating Digital for future-ready businesses.","medium","43","","","high","94","","","",""
"Dadosfera","https://dadosfera.ai","http://www.linkedin.com/company/dadosfera","Brazil","BR","Belo Horizonte","Professional Services","72","2018","154","Google Cloud Platform, Amazon Web Services","101","","","Traga o sucesso da sua organização para o agora! A solução que faltava para acelerar os resultados do seu negócio. Uma plataforma que une dados, IA. e análises preditivas em um só lugar, de forma acessível e descomplicada. ","Inovação com foco em resultados - Aqui, o foco está no resultado do seu negócio, por meio de uma plataforma de dados personalizada que vai otimizar os processos. E o melhor: democratizada para a melhor experiência de usuários e executivos com o que há de mais moderno na área de Análises e Design.","medium","65","","","high","94","","","",""
"Volto","https://voltosempre.com.br","http://www.linkedin.com/company/volto-sempre---mereo-servi%c3%a7os-de-fideliza%c3%a7%c3%a3o","Brazil","BR","São Paulo","IT Services and IT Consulting","3","2015","441","OneDrive, Google Cloud Platform, Amazon Web Services","400","","","","O VOLTO SEMPRE é um programa de fidelidade único para pequenos e médios estabelecimentos. \\Os estabelecimentos parceiros têm acesso à nossa plataforma de fidelidade que aumenta a rentabilidade do seu negócio através da retenção e atração de clientes.\\Somos uma empresa jovem, que traz na bagagem um amplo conhecimento em programas de fidelidade para os mais diversos segmentos.\\O VOLTO SEMPRE é uma startup residente no CUBO Coworking e nosso momento é de expansão!\\Melhor do que você pedir para o seu cliente voltar é ele mesmo falar: VOLTO SEMPRE.","medium","23","","","high","93","","","medium","3"
"PagBank PagSeguro","https://uol.com.br","http://www.linkedin.com/company/uol","Brazil","BR","São Paulo","IT Services and IT Consulting","3700","1996","280","Google Cloud Platform, Amazon Web Services","331","","2894000","RedeTV! Evoluindo com você","UOL

UOL Content and Services offers more than 1,000 channels of journalism, information, entertainment and services. With 90% coverage (9 out of 10 Brazilians access UOL content every month), UOL has the largest audience among Brazilian Internet media outlets. UOL Content and Services also offers entertainment products (UOL Play, UOL Economy +, UOL Club), security and Assistance (Antivirus, Technical Assistance, UOL Resolve), solutions for digital media (Advertising), among others. UOL Group is the largest Brazilian group of content, technology, services and means of digital payments and also has the following business units: PagSeguro PagBank, a public company on the NYSE (USA), which has complete solutions for online and face-to-face payments (mobile) and POS) for all means of payment (credit, debit and meal cards), in addition to free digital accounts that allow you to pay bills, recharge cell phones, make salary portability and send and receive transfers (TEDs); Compass UOL, which offers technological solutions for the digital transformation of large companies; and UOL EdTech, a platform with solutions for online education.

Access: www.uol.com.br/sobre","medium","8","","","high","93","","","",""
"Banco BV","https://bancobv.com.br","http://www.linkedin.com/company/banco-bv","Brazil","BR","","Banking","5000","1991","237","Amazon Web Services, Salesforce Marketing Cloud, Google Cloud Platform","522","","600000000","Bem-vindo ao BV! É possível um banco ser leve? A gente acredita que sim! banco BV, leve para a vida! Acesse!","Olá! Somos o banco BV, uma das maiores instituições financeiras da América Latina com mais de 30 anos de experiência no mercado. 

Nosso propósito é tornar mais tranquila a vida financeira de pessoas e empresas, acreditamos em um jeito mais leve de lidar com dinheiro possibilitando a realização de planos para o futuro, negócios e conquistas pessoais. 

Simples, correto, corajoso, parceiro - esse é o jeito BV de ser. Queremos atitude e ousadia para realizar, é preciso querer fazer, aprender a fazer e estar perto de quem sabe fazer, e é por isso que aqui tem muita gente boa, boa de estar junto e boa de entregar uma experiência única para nossos clientes. 

Falando em clientes, eles estão sempre em primeiro lugar para nós. Nosso compromisso é colocar suas necessidades e objetivos no centro de tudo o que fazemos. 

Buscamos oferecer soluções inovadoras e personalizadas em todos os segmentos que atuamos: conta, cartões, empréstimos e financiamentos para pessoas físicas, seguros e assistências, investidores institucionais, veículos, Corporate & Investment Banking. 

Além disso, somos o único banco que compensa 100% da emissão de CO2 dos veículos financiados, demonstrando nosso compromisso com o desenvolvimento sustentável do país. 

Seja bem-vindo ao universo BV, onde o futuro financeiro é leve, transparente e colaborativo.  #LeveParaASuaCarreira #LeveParaAVida","high","89","high","6","medium","26","","","",""
"Itaú","https://itau.com.br","http://www.linkedin.com/company/itau","Brazil","BR","São Paulo","Banking","97000","1924","236","Salesforce Marketing Cloud, Google Cloud Platform, Amazon Web Services","391","","28004525000","Maior Private Bank da América Latina, curadoria de alta performance para seus investimentos, presença global e produtos de mais de 40 gestores.","Itaú is a banking firm that offers credit card, loans, insurance, pension plan and capitalization services for individual and businesses.","medium","8","medium","2","high","85","","","",""
"Afya","https://afya.com.br","http://www.linkedin.com/company/afyamedicina","Brazil","BR","Nova Lima","Higher Education","5001","2019","339","Google Cloud Platform, OneDrive, Google Drive, Amazon Web Services","1150","","460162000","Por que escolher a Afya? Nossa essência é reconhecer as expectativas e necessidades das novas gerações e construir pontes entre as diversas visões de mundo, culturas e tradições de nossa sociedade.","Afya is a Brazil-based medical education group that operates medical schools and also offers corporate and investment solutions for the health and medical education market.","medium","13","","","high","84","low","1","medium","6"
"Loggi","https://loggi.com","https://www.linkedin.com/company/loggi/","Brazil","BR","São Paulo","Freight and Package Transportation","4275","2013","203","Google Cloud Platform, Amazon Web Services","1146","","150000000","Procurando por entregas rápidas de encomendas com alta segurança, melhor preço e rotas inteligentes? Vem com a Loggi!","Through technology (mobile, AI, automation, IOT), we have created, in an unprecedented way, a next generation logistics network in Brazil that is a fast, cost-effective and reliable solution.

By the end of 2020, we want to be present in all Brazilian cities and reach the milestone of 5 million deliveries per day for the next 5 years.

With SoftBank, Microsoft, GGV Capital and others, the new investment round has brought Loggi’s valuation up to US$1 billion!","low","3","","","high","82","","","",""
"CaseWare","https://caseware.com.br","http://www.linkedin.com/company/caseware","Brazil","BR","","Accounting","7","1993","309","Google Drive, Google Cloud Platform, Amazon Web Services","235","","","","Com know how de mais de quinze anos no segmento de tecnologia da informação, a CaseWare vem oferecer a maior gama de soluções e produtos com a melhor qualidade focando sempre na relação custo x benefício. Visando manter sempre um excelente padrão de atendimento, estamos constantemente buscando aprimorar tecnicamente nossa equipe de suporte, oferecendo sempre novas ofertas de produtos e serviços.","low","5","","","high","80","medium","1","",""
"Viceri","https://viceri.com.br","http://www.linkedin.com/company/viceri","Brazil","BR","Jundiaí","IT Services and IT Consulting","110","1990","202","Google Cloud Platform, Amazon Web Services","130","","","","A melhor solução pode vir de algo inimaginável, por isso a Viceri busca todos os dias, a cada entrega, a cada solução, pensar primeiramente nas pessoas, na sua cadeia de valor, indo além do olhar da eficiência corporativa. Queremos conectar as pessoas com a revolução digital para entregar soluções inimagináveis, implantando assim um Mindset disruptivo e de alto impacto.","medium","18","","","high","80","","","",""
"innolevels - Leveraging your Business","https://innolevels.com.br","http://www.linkedin.com/company/innolevels","Brazil","BR","Rio de Janeiro","IT Services and IT Consulting","30","2012","390","Salesforce Marketing Cloud, Google Cloud Platform, Amazon Web Services","420","","","A innolevels provê serviços de Consultoria em TI, Fábrica de Software, Sistemas, Aplicações, Soluções em Nuvem, Mobilidade, Alocação de Recursos e Digital.","Somos uma empresa que oferece soluções, serviços e consultoria em tecnologia da informação provendo o melhor resultado para os desafios enfrentados pelos nossos clientes. Temos excelência em gerar valor através de tecnologia, metodologia e pessoas com compromisso de sempre levar inovação tecnológica pela dedicação, colaboração e talento da nossa equipe. 

Trabalhamos com uma evolução de crescimento médio superior a 43% ao ano o que nos proporciona cada vez mais investimentos em inovação, atendimento de qualidade, carreira profissional e expansão das nossas operações. Nosso maior orgulho é a fidelização dos nossos clientes, parceiros e funcionários ao longo de nossa história, sendo possível afirmar que nossa jornada de crescimento é cada vez maior e sempre compartilhada com todos os envolvidos.","medium","24","medium","5","high","76","","","",""
"MadeiraMadeira","https://madeiramadeira.com.br","https://www.linkedin.com/company/madeiramadeira/","Brazil","BR","Curitiba","Software Development","2000","2009","269","Google Cloud Platform, Amazon Web Services","902","","","","Há mais de uma década a MadeiraMadeira é líder em oferecer soluções tecnológicas para que o máximo de pessoas possa se sentir em casa. 

Nosso propósito é um só: reinventar a maneira como as pessoas montam suas casas. Somos mais de 2.000 pessoas que trabalham todos os dias para garantir que cada pedacinho da casa de mais de 3 milhões de clientes conte uma história.

Para garantir isso, somos apaixonados por desafios e resultados consistentes. Sonhamos, acreditamos e realizamos: somos a maior plataforma de produtos para casa da América Latina com mais de 2 milhões de produtos ofertados em nosso site e, além do e-commerce, também somos marketplace e atuamos com guide shops espalhadas pelo Brasil.

Aqui, na MadeiraMadeira valorizamos o entusiasmo e acreditamos que ter paixão empreendedora é mais que assumir riscos, é transformar desafios em resultados surpreendentes. Mais que entender, encaramos o erro como um processo de aprendizado e persistimos frente à velocidade das mudanças. 

🌈Diversidade, Inclusão e Pertencimento

Somamos nossas diferenças para multiplicar:
Multiplicar um ambiente +diverso, +acolhedor, +criativo e +justo.

Valorizamos as diferentes possibilidades de ser e pensar. Por isso, criamos o Sommar, nosso programa de diversidade, inclusão e pertencimento.

Esta é a nossa entrega para uma sociedade, uma empresa e pessoas melhores. 

Somos mais do que uma empresa: somos agentes de transformação, inovação e mudança. #VamosSommar?","low","6","","","high","75","","","",""
"Impulso","https://impulso.team","https://www.linkedin.com/company/impulsoteam/","Brazil","BR","Rio de Janeiro","IT Services and IT Consulting","166","2010","231","Google Cloud Platform, Amazon Web Services","201","","","Montamos e alocamos times prontos para atuar nos seus projetos estratégicos permitindo que sua empresa cresça de forma consistente na velocidade que ela precisa.","Any talent. Any stack. We offer the widest variety of talents for remote allocation.

We are internationally recognized for our pioneering spirit and experience. Over the past ten years, we have refined our exponential team growth process and created matching systems and algorithms to make the process even more efficient and accurate. Thus, we deliver the best fit in the shortest time.

In three weeks, we assemble and allocate teams ready to act on your strategic projects, allowing your company to grow consistently at the speed it needs.

Our continuous management team follows the extended teams to increase their synergy and collaboration, making them increasingly engaged, results-oriented and productive.

We will not rest until the work become fully realized, motivated and productive for each person and company.

Learn more on our website!","medium","10","","","high","74","","","",""
"Instituto Atlântico","https://atlantico.com.br","http://www.linkedin.com/company/instituto-atlantico","Brazil","BR","Fortaleza","IT Services and IT Consulting","700","2001","221","Google Cloud Platform, Amazon Web Services","176","","","","Especializado em Pesquisa e Desenvolvimento (P&D), o Instituto Atlântico é uma empresa privada sem fins lucrativos cujo foco é ajudar organizações de diversos setores e portes a transformar projetos e ideias inovadoras em realidade.

O Atlântico possui um time de mais de 400 Atlantes apaixonados pelo que fazem e distribuídos em nossa sede que fica localizada em Fortaleza.

Somos referência nacional em qualidade e eficiência na área de TI&C e possuímos expertise comprovada em diversas áreas do conhecimento, dentre elas:

- Machine Learning
- IoT
- Big data
- Aplicações Móveis
- Cloud Computing
- Hardware
- Redes Inteligentes 
- Sistemas Embarcados
- Testes Automatizados

Foi fundado em 2001 pelo CPqD, o maior Centro de Pesquisa de Desenvolvimento em Telecomunicações do Brasil.","low","6","","","high","74","","","",""
"Maitha Tech","https://maitha.com.br","https://www.linkedin.com/company/maitha-tech/","Brazil","BR","São Paulo","IT Services and IT Consulting","155","2019","325","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","294","","","Somos uma empresa Squad as a Service. Oferecemos uma forma sustentável de expandir a capacidade de entrega de times de tecnologia. Conheça-nos","Somos uma empresa digital, com experiência em tecnologia e inspirada pela inovação. Atuamos na aceleração, transformação e ideacão de novas soluções e times de alta performance. 
Com atuação nos maiores players de mercado, apoiamos parceiros no crescimento do negócio focando em resultados e eficiência operacional.","medium","29","medium","4","high","73","","","",""
"EBANX","https://ebanx.com","http://www.linkedin.com/company/ebanx","Brazil","BR","Curitiba","Financial Services","740","2012","309","Google Cloud Platform, Amazon Web Services","525","","150000000","Superior performance and built-to-fit payment solutions for global techs growing in Latin America and Africa according to their business industries.","Com DNA Latino-americano, o EBANX nasceu em Curitiba, em 2012, como uma Fintech Global. Hoje, oferecemos soluções de pagamento que vão de ponta-a-ponta, em todo o processo de transação dentro de ecommerces. Com mais de 100 métodos de pagamentos locais disponíveis, o EBANX já ajudou mais de 500 empresas globais a crescerem na América Latina e 40 milhões de Latino-americanos a terem acesso a serviços e produtos de todo o mundo.","low","6","","","high","72","","","",""
"RecargaPay","https://recargapay.com","https://www.linkedin.com/company/recargapay/","Brazil","BR","São Paulo","Financial Services","648","","228","Amazon Web Services","516","","","RecargaPay é um super app de pagamentos que convida as pessoas a repensarem sua vida financeira.  #RepenseOÓbvio","RecargaPay is an all-in-one payments superapp based in Brazil that invites people to switch out of autopilot and rethink their finances based on convenience, affordability, and flexibility.
The platform streamlines payments for over 7 million Brazilians by consolidating credit and debit cards, instant payments like Pix, and Open Finance, on a mission to democratize mobile payments and financial services in Brazil.
Featuring services such as bill payments, mobile top-ups, public transportation, installment plans, and loans, designed with convenience, low cost and flexibility in mind. RecargaPay is changing the way both banked and unbanked Brazilians make their everyday payments and access their financial services.
Founded in 2010, having already received over $120 million in funding from investors that include IFC and IADB, RecargaPay is authorized as a Payments Institution and SCD by the Brazilian Central Bank.","","","","","high","69","","","",""